name;simulation-bidirect-runtime;simulation-bidirect-parsing;simulation-bidirect-reduction;simulation-bidirect-states;simulation-bidirect-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata;0.1; 0.0876511; 0.0226; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.11; 0.0901874; 0.0233; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata;5.59; 1.60273; 3.9983; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.0; 0.00120897; 0.0002; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata;5.61; 1.61834; 3.9910; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.02; 0.0262398; 0.0040; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata;5.6; 1.61593; 4.0001; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.11; 0.090733; 0.0234; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata;5.62; 1.62852; 3.9995; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.03; 0.02617; 0.0040; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata;5.62; 1.63292; 3.9972; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.0; 0.000555582; 0.0002; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata;5.62; 1.61734; 3.9984; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.11; 0.0904514; 0.0234; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata;5.63; 1.62116; 4.0029; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.11; 0.0902313; 0.0235; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata;5.65; 1.632; 3.9988; 12; 17
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.11; 0.0902316; 0.0235; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata;5.59; 1.62228; 3.9978; 12; 17
