name;simulation-runtime;simulation-parsing;simulation-reduction;simulation-states;simulation-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata;3.53; 1.59342; 1.9016; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.0; 0.00147722; 0.0002; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata;3.54; 1.60972; 1.9308; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;1.28; 0.664889; 0.6022; 18; 20
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata;3.5; 1.58031; 1.9162; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;1.26; 0.670897; 0.6032; 19; 21
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata;3.47; 1.57074; 1.9222; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.0; 0.000540631; 0.0001; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata;3.52; 1.59935; 1.9332; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.0; 0.00195717; 0.0002; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata;3.54; 1.5764; 1.9354; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.0; 0.000545882; 0.0002; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata;3.5; 1.58417; 1.9173; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.0; 0.00611387; 0.0005; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata;3.52; 1.5894; 1.9117; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.0; 0.00197375; 0.0002; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata;3.54; 1.59015; 1.9317; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.0; 0.00610633; 0.0005; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata;3.49; 1.57621; 1.9236; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.02; 0.0259408; 0.0020; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata;3.5; 1.58423; 1.9133; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.0; 0.00610863; 0.0005; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-lhs.mata;3.52; 1.57886; 1.9212; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T27-rhs.mata;0.07; 0.0695869; 0.0087; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-lhs.mata;3.54; 1.60098; 1.9373; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T28-rhs.mata;0.03; 0.0258431; 0.0020; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-lhs.mata;3.48; 1.58518; 1.9084; 75; 113
automata/nfa-bench/benchmarks/automata_inclusion/false-T29-rhs.mata;0.1; 0.0871888; 0.0122; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-lhs.mata;2.83; 1.32728; 1.5004; 76; 119
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-rhs.mata;3.09; 1.42516; 1.6437; 74; 115
