name;simulation-fixpoint-runtime;simulation-fixpoint-parsing;simulation-fixpoint-reduction;simulation-fixpoint-states;simulation-fixpoint-transitions
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata;0.0; 0.00113766; 0.0003; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.1; 0.0852781; 0.0235; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata;0.0; 0.00139753; 0.0008; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.11; 0.0849496; 0.0237; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata;1.74; 0.6431; 1.0898; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.11; 0.0861323; 0.0234; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata;1.74; 0.647562; 1.0862; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.1; 0.0855656; 0.0234; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata;0.08; 0.0681728; 0.0164; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.1; 0.0859925; 0.0235; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata;0.11; 0.083551; 0.0225; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.11; 0.0857945; 0.0237; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata;5.37; 1.53546; 3.8253; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.0; 0.00114156; 0.0004; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata;5.38; 1.54968; 3.8349; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.03; 0.0249817; 0.0045; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata;5.3; 1.52002; 3.7853; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.1; 0.085558; 0.0237; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata;5.34; 1.52322; 3.8157; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.03; 0.0248217; 0.0044; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata;5.36; 1.54154; 3.8169; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.0; 0.000531322; 0.0004; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata;5.39; 1.54955; 3.8349; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.1; 0.0853423; 0.0236; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata;5.34; 1.52623; 3.8137; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.1; 0.0850193; 0.0235; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata;5.35; 1.52632; 3.8179; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.1; 0.0856488; 0.0234; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata;5.4; 1.55806; 3.8230; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.0; 0.00236718; 0.0007; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata;5.31; 1.52464; 3.7905; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.03; 0.0249127; 0.0040; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata;5.33; 1.52592; 3.8222; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.0; 0.00114707; 0.0004; 4; 4
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata;5.35; 1.52239; 3.8205; 5; 6
automata/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.0; 0.00137889; 0.0008; 5; 5
automata/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata;5.32; 1.52948; 3.7988; 5; 6
